gt_match_id,order_id,expected_amount,currency,status,anomaly_flags
GM000048,ORDGM000048,3461.29,INR,pending,
GM000049,ORDGM000049,3287.49,INR,pending,
GM000050,ORDGM000050,1634.12,INR,pending,
GM000051,ORDGM000051,450.18,INR,pending,
GM000052,ORDGM000052,4833.73,INR,pending,
GM000053,ORDGM000053,2293.63,INR,pending,
GM000054,ORDGM000054,1214.74,INR,pending,
GM000054R,ORDGM000054R,-1230.39,INR,pending,
GM000055,ORDGM000055,909.74,INR,pending,
GM000057,ORDGM000057,321.51,INR,pending,
GM000058,ORDGM000058,2095.85,INR,pending,
GM000058R,ORDGM000058R,-2133.48,INR,pending,
GM000059,ORDGM000059,1122.63,INR,pending,
GM000060,ORDGM000060,1713.80,INR,pending,
GM000061,ORDGM000061,694.32,INR,pending,
GM000062,ORDGM000062,858.23,INR,pending,
GM000063,ORDGM000063,6831.63,INR,pending,
GM000064,ORDGM000064,574.40,INR,pending,
GM000065,ORDGM000065,8649.52,INR,pending,
GM000065R,ORDGM000065R,-8740.38,INR,pending,
GM000066,ORDGM000066,190.07,INR,pending,
GM000067,ORDGM000067,2025.55,INR,pending,
GM000068,ORDGM000068,4198.26,INR,pending,
GM000069,ORDGM000069,277.46,INR,pending,
GM000070,ORDGM000070,472.86,INR,pending,
GM000071,ORDGM000071,591.97,INR,pending,
GM000072,ORDGM000072,300.85,INR,pending,
GM000072R,ORDGM000072R,-309.65,INR,pending,
GM000073,ORDGM000073,4599.31,INR,pending,
GM000074,ORDGM000074,214.28,INR,pending,
GM000075,ORDGM000075,267.84,INR,pending,
GM000076,ORDGM000076,1953.91,INR,pending,
GM000077,ORDGM000077,2587.83,INR,pending,
GM000077R,ORDGM000077R,-2626.52,INR,pending,
GM000078,ORDGM000078,1255.15,INR,pending,
GM000079,ORDGM000079,2960.68,INR,pending,
GM000079R,ORDGM000079R,-2990.01,INR,pending,
GM000080,ORDGM000080,2203.28,INR,pending,
GM000081,ORDGM000081,219.44,INR,pending,
GM000082,ORDGM000082,2429.09,INR,pending,
GM000083,ORDGM000083,6636.92,INR,pending,
GM000084,ORDGM000084,841.36,INR,pending,
GM000085,ORDGM000085,2682.90,INR,pending,
GM000086,ORDGM000086,567.12,INR,pending,
GM000087,ORDGM000087,192.35,INR,pending,
GM000088,ORDGM000088,3061.51,INR,pending,
GM000089,ORDGM000089,1785.87,INR,pending,
GM000090,ORDGM000090,5141.19,INR,pending,
GM000091,ORDGM000091,7163.25,INR,pending,
GM000092,ORDGM000092,2167.34,INR,pending,
GM000093,ORDGM000093,1384.80,INR,pending,
GM000094,ORDGM000094,11657.53,INR,pending,
GM000095,ORDGM000095,600.73,INR,pending,
GM000096,ORDGM000096,3742.51,INR,pending,
GM000097,ORDGM000097,2734.98,INR,pending,
GM000098,ORDGM000098,3967.20,INR,pending,
GM000099,ORDGM000099,33.25,INR,pending,
GM000101,ORDGM000101,97.31,INR,pending,
GM000102,ORDGM000102,955.53,INR,pending,
GM000103,ORDGM000103,1124.59,INR,pending,
GM000104,ORDGM000104,30.36,INR,pending,
GM000105,ORDGM000105,634.14,INR,pending,
GM000106,ORDGM000106,781.45,INR,pending,
GM000107,ORDGM000107,52.35,INR,pending,
GM000108,ORDGM000108,5068.63,INR,pending,
GM000109,ORDGM000109,1987.72,INR,pending,
GM000110,ORDGM000110,380.61,INR,pending,
GM000111,ORDGM000111,6761.00,INR,pending,
GM000112,ORDGM000112,88.20,INR,pending,
GM000113,ORDGM000113,2678.89,INR,pending,
GM000114,ORDGM000114,606.00,INR,pending,
GM000115,ORDGM000115,305.32,INR,pending,
GM000116,ORDGM000116,221.50,INR,pending,
GM000117,ORDGM000117,488.93,INR,pending,
GM000118,ORDGM000118,878.23,INR,pending,
GM000119,ORDGM000119,2189.45,INR,pending,
GM000120,ORDGM000120,1576.49,INR,pending,
GM000121,ORDGM000121,4419.26,INR,pending,
GM000122,ORDGM000122,582.10,INR,pending,
GM000123,ORDGM000123,2844.30,INR,pending,
GM000124,ORDGM000124,3793.09,INR,pending,
GM000125,ORDGM000125,2746.88,INR,pending,
GM000126,ORDGM000126,116.00,INR,pending,
GM000127,ORDGM000127,981.64,INR,pending,
GM000128,ORDGM000128,8.74,INR,pending,
GM000129,ORDGM000129,1147.70,INR,pending,
GM000130,ORDGM000130,317.08,INR,pending,
GM000131,ORDGM000131,1218.61,INR,pending,
GM000132,ORDGM000132,2751.56,INR,pending,
GM000133,ORDGM000133,2257.10,INR,pending,
GM000134,ORDGM000134,1796.16,INR,pending,
GM000136,ORDGM000136,2024.66,INR,pending,
GM000137,ORDGM000137,1064.89,INR,pending,
GM000138,ORDGM000138,522.56,INR,pending,
GM000139,ORDGM000139,580.40,INR,pending,
GM000141,ORDGM000141,1508.31,INR,pending,
GM000141R,ORDGM000141R,-1530.57,INR,pending,
GM000142,ORDGM000142,859.61,INR,pending,
GM000143,ORDGM000143,3460.94,INR,pending,
GM000144,ORDGM000144,186.87,INR,pending,
GM000145,ORDGM000145,4704.56,INR,pending,
GM000146,ORDGM000146,4250.62,INR,pending,
GM000147,ORDGM000147,650.15,INR,pending,
GM000148,ORDGM000148,4319.48,INR,pending,
GM000149,ORDGM000149,2151.32,INR,pending,
GM000150,ORDGM000150,2217.44,INR,pending,
GM000151,ORDGM000151,2196.64,INR,pending,
GM000152,ORDGM000152,17.84,INR,pending,
GM000153,ORDGM000153,1067.18,INR,pending,
GM000154,ORDGM000154,1865.00,INR,pending,
GM000155,ORDGM000155,298.85,INR,pending,
GM000156,ORDGM000156,2215.88,INR,pending,
GM000158,ORDGM000158,3365.26,INR,pending,
GM000159,ORDGM000159,3327.38,INR,pending,
GM000160,ORDGM000160,3921.75,INR,pending,
GM000161,ORDGM000161,282.31,INR,pending,
GM000162,ORDGM000162,807.45,INR,pending,
GM000163,ORDGM000163,1122.26,INR,pending,
GM000165,ORDGM000165,2961.01,INR,pending,
GM000165R,ORDGM000165R,-2999.97,INR,pending,
GM000167,ORDGM000167,1482.81,INR,pending,
GM000168,ORDGM000168,3435.33,INR,pending,
GM000169,ORDGM000169,2929.88,INR,pending,
GM000170,ORDGM000170,1570.93,INR,pending,
GM000171,ORDGM000171,3675.14,INR,pending,
GM000172,ORDGM000172,205.01,INR,pending,
GM000173,ORDGM000173,9396.80,INR,pending,
GM000174,ORDGM000174,4042.14,INR,pending,
GM000175,ORDGM000175,3812.57,INR,pending,
GM000176,ORDGM000176,304.33,INR,pending,
GM000177,ORDGM000177,124.11,INR,pending,
GM000178,ORDGM000178,589.62,INR,pending,
GM000179,ORDGM000179,664.60,INR,pending,
GM000180,ORDGM000180,409.86,INR,pending,
GM000181,ORDGM000181,230.95,INR,pending,
GM000182,ORDGM000182,4609.83,INR,pending,
GM000183,ORDGM000183,2834.60,INR,pending,
GM000183R,ORDGM000183R,-2893.96,INR,pending,
GM000184,ORDGM000184,291.78,INR,pending,
GM000185,ORDGM000185,1042.89,INR,pending,
GM000186,ORDGM000186,872.87,INR,pending,
GM000187,ORDGM000187,482.85,INR,pending,
GM000187R,ORDGM000187R,-509.01,INR,pending,
GM000188,ORDGM000188,2897.37,INR,pending,
GM000190,ORDGM000190,1123.00,INR,pending,
GM000191,ORDGM000191,29.84,INR,pending,
GM000191R,ORDGM000191R,-37.37,INR,pending,
GM000193,ORDGM000193,1517.60,INR,pending,
GM000194,ORDGM000194,1679.21,INR,pending,
GM000195,ORDGM000195,281.67,INR,pending,
GM000196,ORDGM000196,2440.34,INR,pending,
GM000197,ORDGM000197,5930.14,INR,pending,
GM000198,ORDGM000198,1912.22,INR,pending,
GM000199,ORDGM000199,28.59,INR,pending,
GM000200,ORDGM000200,959.70,INR,pending,
GM000201,ORDGM000201,1278.75,INR,pending,
GM000202,ORDGM000202,3217.19,INR,pending,
GM000203,ORDGM000203,9082.40,INR,pending,
GM000203R,ORDGM000203R,-9156.29,INR,pending,
GM000204,ORDGM000204,1044.44,INR,pending,
GM000205,ORDGM000205,1494.76,INR,pending,
GM000206,ORDGM000206,3453.74,INR,pending,
GM000207,ORDGM000207,556.85,INR,pending,
GM000208,ORDGM000208,3372.40,INR,pending,
GM000209,ORDGM000209,2426.86,INR,pending,
GM000210,ORDGM000210,728.43,INR,pending,
GM000211,ORDGM000211,2178.07,INR,pending,
GM000212,ORDGM000212,176.18,INR,pending,
GM000213,ORDGM000213,3533.54,INR,pending,
GM000214,ORDGM000214,446.87,INR,pending,
GM000215,ORDGM000215,2798.64,INR,pending,
GM000216,ORDGM000216,589.93,INR,pending,
GM000217,ORDGM000217,2444.35,INR,pending,
GM000218,ORDGM000218,1941.88,INR,pending,
GM000219,ORDGM000219,6266.10,INR,pending,
GM000220,ORDGM000220,300.68,INR,pending,
GM000221,ORDGM000221,2954.59,INR,pending,
GM000222,ORDGM000222,367.35,INR,pending,
GM000223,ORDGM000223,235.00,INR,pending,
GM000224,ORDGM000224,581.47,INR,pending,
GM000225,ORDGM000225,156.16,INR,pending,
GM000226,ORDGM000226,886.28,INR,pending,
GM000227,ORDGM000227,104.54,INR,pending,
GM000228,ORDGM000228,449.81,INR,pending,
GM000229,ORDGM000229,2639.88,INR,pending,
GM000230,ORDGM000230,1304.82,INR,pending,
GM000231,ORDGM000231,144.30,INR,pending,
GM000232,ORDGM000232,446.63,INR,pending,
GM000233,ORDGM000233,5153.89,INR,pending,
GM000234,ORDGM000234,14.95,INR,pending,
GM000235,ORDGM000235,2031.23,INR,pending,
GM000236,ORDGM000236,23.65,INR,pending,
GM000237,ORDGM000237,635.30,INR,pending,
GM000239,ORDGM000239,940.60,INR,pending,
GM000240,ORDGM000240,3833.14,INR,pending,
GM000242,ORDGM000242,142.93,INR,pending,
GM000243,ORDGM000243,2732.24,INR,pending,
GM000245,ORDGM000245,1696.40,INR,pending,
GM000246,ORDGM000246,308.32,INR,pending,
GM000247,ORDGM000247,358.21,INR,pending,
GM000248,ORDGM000248,538.32,INR,pending,
GM000250,ORDGM000250,75.14,INR,pending,
GM000250R,ORDGM000250R,-76.94,INR,pending,
GM000251,ORDGM000251,1043.17,INR,pending,
GM000251R,ORDGM000251R,-1074.58,INR,pending,
GM000252,ORDGM000252,1766.65,INR,pending,
GM000254,ORDGM000254,1121.28,INR,pending,
GM000255,ORDGM000255,6917.09,INR,pending,
GM000256,ORDGM000256,1091.82,INR,pending,
GM000256R,ORDGM000256R,-1118.32,INR,pending,
GM000257,ORDGM000257,2215.20,INR,pending,
GM000258,ORDGM000258,591.70,INR,pending,
GM000259,ORDGM000259,5548.86,INR,pending,
GM000260,ORDGM000260,481.80,INR,pending,
GM000261,ORDGM000261,1070.07,INR,pending,
GM000262,ORDGM000262,4912.61,INR,pending,
GM000263,ORDGM000263,1292.43,INR,pending,
GM000264,ORDGM000264,147.35,INR,pending,
GM000265,ORDGM000265,3008.57,INR,pending,
GM000266,ORDGM000266,1275.29,INR,pending,
GM000266R,ORDGM000266R,-1306.27,INR,pending,
GM000267,ORDGM000267,1733.46,INR,pending,
GM000268,ORDGM000268,3909.75,INR,pending,
GM000269,ORDGM000269,469.03,INR,pending,
GM000270,ORDGM000270,1737.70,INR,pending,
GM000272,ORDGM000272,1430.84,INR,pending,
GM000273,ORDGM000273,1111.84,INR,pending,
GM000274,ORDGM000274,937.40,INR,pending,
GM000274R,ORDGM000274R,-958.01,INR,pending,
GM000275,ORDGM000275,565.01,INR,pending,
GM000276,ORDGM000276,1071.37,INR,pending,
GM000277,ORDGM000277,182.12,INR,pending,
GM000278,ORDGM000278,366.60,INR,pending,
GM000279,ORDGM000279,1711.88,INR,pending,
GM000280,ORDGM000280,2878.69,INR,pending,
GM000281,ORDGM000281,1585.30,INR,pending,
GM000282,ORDGM000282,4691.00,INR,pending,
GM000283,ORDGM000283,704.52,INR,pending,
GM000284,ORDGM000284,2161.04,INR,pending,
GM000285,ORDGM000285,224.94,INR,pending,
GM000286,ORDGM000286,2324.44,INR,pending,
GM000286R,ORDGM000286R,-2346.20,INR,pending,
GM000287,ORDGM000287,4520.64,INR,pending,
GM000288,ORDGM000288,428.74,INR,pending,
GM000290,ORDGM000290,3782.80,INR,pending,
GM000292,ORDGM000292,6727.51,INR,pending,
GM000293,ORDGM000293,348.12,INR,pending,
GM000294,ORDGM000294,1300.77,INR,pending,
GM000295,ORDGM000295,1685.67,INR,pending,
GM000295R,ORDGM000295R,-1715.39,INR,pending,
GM000296,ORDGM000296,3499.71,INR,pending,
GM000297,ORDGM000297,821.85,INR,pending,
GM000297R,ORDGM000297R,-834.53,INR,pending,
GM000298,ORDGM000298,1669.18,INR,pending,
GM000299,ORDGM000299,941.19,INR,pending,
GM000300,ORDGM000300,1185.73,INR,pending,
GM000301,ORDGM000301,3148.07,INR,pending,
GM000302,ORDGM000302,2491.11,INR,pending,
GM000303,ORDGM000303,423.23,INR,pending,
GM000303R,ORDGM000303R,-434.47,INR,pending,
GM000304,ORDGM000304,4793.98,INR,pending,
GM000305,ORDGM000305,1669.51,INR,pending,
GM000306,ORDGM000306,912.18,INR,pending,
GM000307,ORDGM000307,259.32,INR,pending,
GM000307R,ORDGM000307R,-278.32,INR,pending,
GM000309,ORDGM000309,52.90,INR,pending,
GM000309R,ORDGM000309R,-70.68,INR,pending,
GM000310,ORDGM000310,4454.05,INR,pending,
GM000311,ORDGM000311,210.71,INR,pending,
GM000312,ORDGM000312,1410.15,INR,pending,
GM000313,ORDGM000313,430.78,INR,pending,
GM000314,ORDGM000314,940.71,INR,pending,
GM000315,ORDGM000315,653.90,INR,pending,
GM000317,ORDGM000317,1700.08,INR,pending,
GM000318,ORDGM000318,896.10,INR,pending,
GM000318R,ORDGM000318R,-910.27,INR,pending,
GM000319,ORDGM000319,1684.50,INR,pending,
GM000320,ORDGM000320,1319.09,INR,pending,
GM000323,ORDGM000323,3168.93,INR,pending,
GM000324,ORDGM000324,299.50,INR,pending,
GM000325,ORDGM000325,2535.26,INR,pending,
GM000326,ORDGM000326,3069.88,INR,pending,
GM000327,ORDGM000327,448.86,INR,pending,
GM000328,ORDGM000328,443.02,INR,pending,
GM000329,ORDGM000329,1017.56,INR,pending,
GM000330,ORDGM000330,469.70,INR,pending,
GM000330R,ORDGM000330R,-494.43,INR,pending,
GM000331,ORDGM000331,5353.48,INR,pending,
GM000332,ORDGM000332,1572.91,INR,pending,
GM000333,ORDGM000333,3066.40,INR,pending,
GM000334,ORDGM000334,3752.42,INR,pending,
GM000335,ORDGM000335,1934.59,INR,pending,
GM000336,ORDGM000336,3083.62,INR,pending,
GM000337,ORDGM000337,617.43,INR,pending,
GM000338,ORDGM000338,1544.27,INR,pending,
GM000339,ORDGM000339,1201.17,INR,pending,
GM000340,ORDGM000340,785.17,INR,pending,
GM000341,ORDGM000341,2044.13,INR,pending,
GM000342,ORDGM000342,805.06,INR,pending,
GM000343,ORDGM000343,960.70,INR,pending,
GM000344,ORDGM000344,3728.25,INR,pending,
GM000345,ORDGM000345,2013.93,INR,pending,
GM000346,ORDGM000346,3578.73,INR,pending,
GM000347,ORDGM000347,1627.78,INR,pending,
GM000348,ORDGM000348,960.31,INR,pending,
GM000349,ORDGM000349,1089.00,INR,pending,
GM000350,ORDGM000350,1097.61,INR,pending,
GM000351,ORDGM000351,3552.62,INR,pending,
GM000352,ORDGM000352,738.41,INR,pending,
GM000353,ORDGM000353,254.77,INR,pending,
GM000354,ORDGM000354,690.46,INR,pending,
GM000355,ORDGM000355,93.21,INR,pending,
GM000356,ORDGM000356,1658.98,INR,pending,
GM000357,ORDGM000357,3144.38,INR,pending,
GM000358,ORDGM000358,2534.75,INR,pending,
GM000360,ORDGM000360,5164.40,INR,pending,
GM000361,ORDGM000361,4173.90,INR,pending,
GM000362,ORDGM000362,1138.90,INR,pending,
GM000363,ORDGM000363,385.65,INR,pending,
GM000364,ORDGM000364,727.05,INR,pending,
GM000366,ORDGM000366,1167.18,INR,pending,
GM000367,ORDGM000367,4773.92,INR,pending,
GM000368,ORDGM000368,227.39,INR,pending,
GM000369,ORDGM000369,2626.71,INR,pending,
GM000369R,ORDGM000369R,-2664.15,INR,pending,
GM000370,ORDGM000370,1120.71,INR,pending,
GM000371,ORDGM000371,3666.39,INR,pending,
GM000372,ORDGM000372,1376.10,INR,pending,
GM000373,ORDGM000373,1239.86,INR,pending,
GM000374,ORDGM000374,1121.90,INR,pending,
GM000375,ORDGM000375,1205.36,INR,pending,
GM000376,ORDGM000376,129.63,INR,pending,
GM000377,ORDGM000377,4262.38,INR,pending,
GM000378,ORDGM000378,3024.37,INR,pending,
GM000379,ORDGM000379,2792.08,INR,pending,
GM000380,ORDGM000380,2038.07,INR,pending,
GM000381,ORDGM000381,5187.96,INR,pending,
GM000382,ORDGM000382,105.20,INR,pending,
GM000383,ORDGM000383,3036.23,INR,pending,
GM000384,ORDGM000384,973.19,INR,pending,
GM000385,ORDGM000385,2058.38,INR,pending,
GM000386,ORDGM000386,1776.01,INR,pending,
GM000387,ORDGM000387,475.58,INR,pending,
GM000388,ORDGM000388,1126.79,INR,pending,
GM000389,ORDGM000389,1064.97,INR,pending,
GM000390,ORDGM000390,6890.59,INR,pending,
GM000391,ORDGM000391,786.95,INR,pending,
GM000391R,ORDGM000391R,-808.05,INR,pending,
GM000392,ORDGM000392,1319.41,INR,pending,
GM000393,ORDGM000393,4064.03,INR,pending,
GM000394,ORDGM000394,1402.78,INR,pending,
GM000395,ORDGM000395,4744.12,INR,pending,
GM000396,ORDGM000396,1219.50,INR,pending,
GM000397,ORDGM000397,292.06,INR,pending,
GM000398,ORDGM000398,400.78,INR,pending,
GM000398R,ORDGM000398R,-448.28,INR,pending,
GM000399,ORDGM000399,248.84,INR,pending,
GM000401,ORDGM000401,2836.23,INR,pending,
GM000402,ORDGM000402,695.83,INR,pending,
GM000403,ORDGM000403,2144.01,INR,pending,
GM000404,ORDGM000404,3053.31,INR,pending,
GM000405,ORDGM000405,3466.50,INR,pending,
GM000406,ORDGM000406,346.99,INR,pending,
GM000407,ORDGM000407,222.44,INR,pending,
GM000408,ORDGM000408,2593.68,INR,pending,
GM000409,ORDGM000409,195.88,INR,pending,
GM000410,ORDGM000410,30.38,INR,pending,
GM000411,ORDGM000411,1035.12,INR,pending,
GM000412,ORDGM000412,365.48,INR,pending,
GM000413,ORDGM000413,5393.04,INR,pending,
GM000414,ORDGM000414,285.79,INR,pending,
GM000415,ORDGM000415,2191.93,INR,pending,
GM000417,ORDGM000417,193.18,INR,pending,
GM000418,ORDGM000418,2050.67,INR,pending,
GM000419,ORDGM000419,1199.86,INR,pending,
GM000420,ORDGM000420,2505.50,INR,pending,
GM000421,ORDGM000421,6185.58,INR,pending,
GM000422,ORDGM000422,2066.03,INR,pending,
GM000423,ORDGM000423,2229.33,INR,pending,
GM000424,ORDGM000424,3154.09,INR,pending,
GM000425,ORDGM000425,259.24,INR,pending,
GM000427,ORDGM000427,1895.24,INR,pending,
GM000428,ORDGM000428,97.09,INR,pending,
GM000430,ORDGM000430,4439.57,INR,pending,
GM000431,ORDGM000431,3590.54,INR,pending,
GM000432,ORDGM000432,1389.19,INR,pending,
GM000433,ORDGM000433,3332.37,INR,pending,
GM000434,ORDGM000434,3766.98,INR,pending,
GM000435,ORDGM000435,2872.14,INR,pending,
GM000436,ORDGM000436,726.68,INR,pending,
GM000437,ORDGM000437,1243.79,INR,pending,
GM000438,ORDGM000438,142.46,INR,pending,
GM000439,ORDGM000439,925.84,INR,pending,
GM000440,ORDGM000440,55.77,INR,pending,
GM000441,ORDGM000441,1586.88,INR,pending,
GM000442,ORDGM000442,1493.89,INR,pending,
GM000443,ORDGM000443,2789.29,INR,pending,
GM000444,ORDGM000444,3508.03,INR,pending,
GM000445,ORDGM000445,1429.47,INR,pending,
GM000446,ORDGM000446,3359.63,INR,pending,
GM000447,ORDGM000447,4181.93,INR,pending,
GM000448,ORDGM000448,10.94,INR,pending,
GM000449,ORDGM000449,3985.87,INR,pending,
GM000450,ORDGM000450,367.04,INR,pending,
GM000451,ORDGM000451,457.67,INR,pending,
GM000452,ORDGM000452,1516.08,INR,pending,
GM000453,ORDGM000453,553.87,INR,pending,
GM000454,ORDGM000454,540.93,INR,pending,
GM000455,ORDGM000455,2098.32,INR,pending,
GM000456,ORDGM000456,1690.87,INR,pending,
GM000457,ORDGM000457,451.54,INR,pending,
GM000458,ORDGM000458,676.27,INR,pending,
GM000459,ORDGM000459,158.42,INR,pending,
GM000460,ORDGM000460,1320.39,INR,pending,
GM000461,ORDGM000461,4239.27,INR,pending,
GM000462,ORDGM000462,1900.40,INR,pending,
GM000463,ORDGM000463,1448.43,INR,pending,
GM000464,ORDGM000464,1580.29,INR,pending,
GM000465,ORDGM000465,3547.01,INR,pending,
GM000466,ORDGM000466,3657.95,INR,pending,
GM000467,ORDGM000467,1433.55,INR,pending,
GM000467R,ORDGM000467R,-1475.60,INR,pending,
GM000468,ORDGM000468,2025.40,INR,pending,
GM000469,ORDGM000469,286.35,INR,pending,
GM000470,ORDGM000470,2376.66,INR,pending,
GM000471,ORDGM000471,13.24,INR,pending,
GM000472,ORDGM000472,661.12,INR,pending,
GM000473,ORDGM000473,1127.24,INR,pending,
GM000474,ORDGM000474,7143.66,INR,pending,
GM000475,ORDGM000475,6321.20,INR,pending,
GM000476,ORDGM000476,2214.21,INR,pending,
GM000477,ORDGM000477,565.07,INR,pending,
GM000478,ORDGM000478,27.08,INR,pending,
GM000479,ORDGM000479,1518.18,INR,pending,
GM000480,ORDGM000480,1138.04,INR,pending,
GM000480R,ORDGM000480R,-1182.34,INR,pending,
GM000481,ORDGM000481,3088.82,INR,pending,
GM000482,ORDGM000482,1080.10,INR,pending,
GM000484,ORDGM000484,8817.03,INR,pending,
GM000485,ORDGM000485,27.93,INR,pending,
GM000486,ORDGM000486,101.08,INR,pending,
GM000487,ORDGM000487,1723.65,INR,pending,
GM000488,ORDGM000488,3454.68,INR,pending,
GM000489,ORDGM000489,203.66,INR,pending,
GM000490,ORDGM000490,3454.80,INR,pending,
GM000491,ORDGM000491,128.23,INR,pending,
GM000492,ORDGM000492,1897.79,INR,pending,
GM000494,ORDGM000494,363.70,INR,pending,
GM000495,ORDGM000495,121.48,INR,pending,
GM000496,ORDGM000496,1598.46,INR,pending,
GM000497,ORDGM000497,2904.66,INR,pending,
GM000497R,ORDGM000497R,-2975.44,INR,pending,
GM000498,ORDGM000498,1633.63,INR,pending,
GM000499,ORDGM000499,94.23,INR,pending,
GM000500,ORDGM000500,651.79,INR,pending,
GM000501,ORDGM000501,1396.71,INR,pending,
GM000502,ORDGM000502,123.58,INR,pending,
GM000502R,ORDGM000502R,-132.59,INR,pending,
GM000503,ORDGM000503,313.79,INR,pending,
GM000504,ORDGM000504,42.52,INR,pending,
GM000505,ORDGM000505,260.65,INR,pending,
GM000506,ORDGM000506,304.65,INR,pending,
GM000507,ORDGM000507,2424.09,INR,pending,
GM000508,ORDGM000508,1237.83,INR,pending,
GM000509,ORDGM000509,4167.75,INR,pending,
GM000510,ORDGM000510,1798.89,INR,pending,
GM000511,ORDGM000511,552.21,INR,pending,
GM000512,ORDGM000512,737.42,INR,pending,
GM000513,ORDGM000513,353.04,INR,pending,
GM000514,ORDGM000514,501.41,INR,pending,
GM000515,ORDGM000515,596.23,INR,pending,
GM000516,ORDGM000516,2393.29,INR,pending,
GM000517,ORDGM000517,444.68,INR,pending,
GM000518,ORDGM000518,3002.32,INR,pending,
GM000519,ORDGM000519,619.44,INR,pending,
GM000520,ORDGM000520,1107.09,INR,pending,
GM000521,ORDGM000521,1662.99,INR,pending,
GM000522,ORDGM000522,493.56,INR,pending,
GM000523,ORDGM000523,3891.61,INR,pending,
GM000524,ORDGM000524,2094.00,INR,pending,
GM000525,ORDGM000525,1276.19,INR,pending,
GM000526,ORDGM000526,6621.27,INR,pending,
GM000527,ORDGM000527,1478.56,INR,pending,
GM000528,ORDGM000528,3066.31,INR,pending,
GM000529,ORDGM000529,22.76,INR,pending,
GM000530,ORDGM000530,153.71,INR,pending,
GM000531,ORDGM000531,1087.95,INR,pending,
GM000532,ORDGM000532,3674.74,INR,pending,
GM000533,ORDGM000533,42.47,INR,pending,
GM000534,ORDGM000534,1671.25,INR,pending,
GM000535,ORDGM000535,2031.79,INR,pending,
GM000536,ORDGM000536,2563.66,INR,pending,
GM000537,ORDGM000537,1732.85,INR,pending,
GM000537R,ORDGM000537R,-1798.57,INR,pending,
GM000538,ORDGM000538,855.63,INR,pending,
GM000539,ORDGM000539,622.45,INR,pending,
GM000540,ORDGM000540,309.31,INR,pending,
GM000541,ORDGM000541,1718.51,INR,pending,
GM000542,ORDGM000542,335.38,INR,pending,
GM000543,ORDGM000543,625.60,INR,pending,
GM000544,ORDGM000544,923.41,INR,pending,
GM000545,ORDGM000545,281.56,INR,pending,
GM000546,ORDGM000546,1080.22,INR,pending,
GM000547,ORDGM000547,1852.30,INR,pending,
GM000548,ORDGM000548,3013.41,INR,pending,
GM000549,ORDGM000549,41.99,INR,pending,
GM000550,ORDGM000550,303.48,INR,pending,
GM000551,ORDGM000551,5314.38,INR,pending,
GM000552,ORDGM000552,787.33,INR,pending,
GM000553,ORDGM000553,705.14,INR,pending,
GM000554,ORDGM000554,866.97,INR,pending,
GM000555,ORDGM000555,481.56,INR,pending,
GM000557,ORDGM000557,964.68,INR,pending,
GM000558,ORDGM000558,233.43,INR,pending,
